# Generated on: 2025-06-27T22:26:37.051Z
# Search Parameters: {"propertyValue":650000,"downPayment":150000,"creditScore":750,"propertyType":"single_family","occupancy":"primary","zipCode":"44053"}
# File Type: mortgage_rates

Lender,Rate,APR,Payment,Points,Upfront_Costs,Loan_Type,Quote_Type
"Tomo Mortgage, LLC.",4.375%,4.760%,"$3,797",2.598,"$13,003",Conventional,Retail
Bison State Bank,4.375%,4.783%,"$3,797",2.758,"$13,804",Conventional,Retail
"Mutual of Omaha Mortgage, Inc.",4.490%,4.886%,"$3,827",2.523,"$13,328",Conventional,Retail
NBKC Bank,4.490%,4.898%,"$3,827",2.749,"$13,759",Conventional,Retail
"Tomo Mortgage, LLC.",4.625%,4.893%,"$3,861",1.791,"$22,518.055",Conventional,Retail
Bison State Bank,4.625%,4.916%,"$3,861",1.951,"$24,119.855",Conventional,Retail
"Tomo Mortgage, LLC.",4.625%,4.893%,"$3,861",1.791,"$8,964",Conventional,Retail
Bison State Bank,4.625%,4.916%,"$3,861",1.951,"$9,765",Conventional,Retail
"Reliant Home Funding, Inc.",4.625%,4.961%,"$3,861",1.851,"$11,259",Conventional,Retail
Guaranteed Rate,4.750%,5.762%,"$4,022.4",1.618,"$25,231.16",FHA,Retail
Sebonic,4.750%,5.160%,"$3,894",2.743,"$13,729",Conventional,Retail
"Mutual of Omaha Mortgage, Inc.",4.875%,5.166%,"$3,925",1.792,"$23,228.06",Conventional,Retail
Guaranteed Rate,4.875%,5.511%,"$3,925.41",1.793,"$17,892.11",Conventional,Retail
NBKC Bank,4.875%,5.146%,"$3,926",1.798,"$8,999",Conventional,Retail
"Mutual of Omaha Mortgage, Inc.",4.875%,5.166%,"$3,926",1.792,"$9,669",Conventional,Retail
"Reliant Home Funding, Inc.",4.990%,5.495%,"$3,956",1.709,"$16,805",VA,Retail
"Reliant Home Funding, Inc.",4.990%,6.265%,"$3,956",1.708,"$19,302",FHA,Retail
NewRez LLC,5.000%,5.607%,"$4,027.18",-0.146,"$4,883.8",FHA,Wholesale
NexBank,5.000%,5.619%,"$4,027.18",-0.36557999999999424,"$5,257.8",FHA,Wholesale
Loan Factory Direct - PennyMac,5.000%,5.651%,"$4,027.18",0.037,"$6,289.3",FHA,Wholesale
Pennymac TPO,5.000%,5.651%,"$4,027.18",0.037,"$6,289.3",FHA,Wholesale
"VIP Mortgage, Inc.",5.000%,5.675%,"$4,027.18",-0.1427500000000066,"$7,054.5",FHA,Wholesale
Click n' Close,5.000%,5.688%,"$4,027.18",-0.00245,"$7,463.4",FHA,Wholesale
Eleven Mortgage,5.000%,5.690%,"$4,027.18",1.4929,"$7,541.6",FHA,Wholesale
AFR Wholesale,5.000%,5.701%,"$4,027.18",0.42799999999999727,"$7,862.9",FHA,Wholesale
Loan United Wholesale,5.000%,5.725%,"$4,027.18",0.32200000000000273,"$8,631.9",FHA,Wholesale
"Paramount Residential Mortgage Group, Inc.",5.000%,5.744%,"$4,027.18",0.516,"$9,238",FHA,Wholesale
Plaza Home Mortgage Inc.,5.000%,5.745%,"$4,027.18",0.54964,"$9,282",FHA,Wholesale
AD Mortgage,5.000%,5.755%,"$4,027.18",0.4339999999999975,"$9,584.3",FHA,Wholesale
Sun West Mtg Co Wholesale,5.000%,5.769%,"$4,027.18",0.44812,"$10,038.1",FHA,Wholesale
TPO GO,5.000%,5.776%,"$4,027.18",1.066999999999993,"$10,261.6",FHA,Wholesale
Jet Advantage Mortgage,5.000%,5.778%,"$4,027.18",1.100999999999999,"$10,307.4",FHA,Wholesale
Forward Lending,5.000%,5.778%,"$4,027.18",1.100999999999999,"$10,307.4",FHA,Wholesale
HomeBridge Wholesale,5.000%,5.839%,"$4,027.18",1.5,"$12,212.1",FHA,Wholesale
Loan Factory Direct - Kind Lending,5.000%,5.847%,"$4,027.18",1.25469,"$12,490.5",FHA,Wholesale
Kind Lending,5.000%,5.847%,"$4,027.18",1.25469,"$12,490.5",FHA,Wholesale
JMAC Lending Inc.,5.000%,5.967%,"$4,027.18",1.6579,"$16,199",FHA,Wholesale
Windsor Mortgage Solutions,5.000%,6.124%,"$4,027.18",2.4819999999999993,"$21,032.4",FHA,Wholesale
NewRez LLC,5.000%,5.639%,"$4,088.534",-0.156,"$4,597.8",VA,Wholesale
"VIP Mortgage, Inc.",5.000%,5.695%,"$4,088.534",-0.1527499999999975,"$6,413.8",VA,Wholesale
Pennymac TPO,5.000%,5.705%,"$4,088.534",-0.05,"$6,712.4",VA,Wholesale
Loan Factory Direct - PennyMac,5.000%,5.705%,"$4,088.534",-0.05,"$6,712.4",VA,Wholesale
Click n' Close,5.000%,5.730%,"$4,088.534",-0.00245,"$7,526.9",VA,Wholesale
NexBank,5.000%,5.731%,"$4,088.534",0.0706700000000069,"$7,543.1",VA,Wholesale
Eleven Mortgage,5.000%,5.759%,"$4,088.534",1.5509,"$8,423.1",VA,Wholesale
Plaza Home Mortgage Inc.,5.000%,5.807%,"$4,088.534",0.65964,"$9,941.8",VA,Wholesale
Loan United Wholesale,5.000%,5.825%,"$4,088.534",0.3990000000000009,"$10,533.1",VA,Wholesale
"Paramount Residential Mortgage Group, Inc.",5.000%,5.828%,"$4,088.534",0.766,"$10,620.9",VA,Wholesale
Sun West Mtg Co Wholesale,5.000%,5.833%,"$4,088.534",0.44812,"$10,787.1",VA,Wholesale
AFR Wholesale,5.000%,5.861%,"$4,088.534",1.051000000000002,"$11,670.5",VA,Wholesale
Jet Advantage Mortgage,5.000%,5.880%,"$4,088.534",1.456000000000003,"$12,249.6",VA,Wholesale
Forward Lending,5.000%,5.880%,"$4,088.534",1.456000000000003,"$12,249.6",VA,Wholesale
Kind Lending,5.000%,5.892%,"$4,088.534",1.20469,"$12,630.5",VA,Wholesale
Loan Factory Direct - Kind Lending,5.000%,5.892%,"$4,088.534",1.20469,"$12,630.5",VA,Wholesale
Union Home Mortgage,5.000%,5.980%,"$4,088.534",1.4860000000000042,"$15,377.6",VA,Wholesale
JMAC Lending Inc.,5.000%,6.073%,"$4,088.534",2.0159,"$18,246.4",VA,Wholesale
Windsor Mortgage Solutions,5.000%,6.164%,"$4,088.534",2.682000000000002,"$21,044.1",VA,Wholesale
Guaranteed Rate,5.000%,5.780%,"$4,088.44",0.889,"$21,557.57",FHA,Retail
PenFed Credit Union,5.000%,6.100%,"$3,958",0.5,"$13,256",FHA,Retail
"Tomo Mortgage, LLC.",5.125%,5.253%,"$3,991",0.845,"$13,048.325",Conventional,Retail
Bison State Bank,5.125%,5.254%,"$3,991",0.852,"$13,118.36",Conventional,Retail
Sebonic,5.125%,5.374%,"$3,991",1.644,"$21,046.32",Conventional,Retail
NewRez LLC,5.125%,5.646%,"$4,060.418",-0.696,"$2,082.9",FHA,Wholesale
NexBank,5.125%,5.683%,"$4,060.418",-0.7544999999999931,"$3,277.1",FHA,Wholesale
Loan Factory Direct - PennyMac,5.125%,5.721%,"$4,060.418",-0.314,"$4,501.8",FHA,Wholesale
Pennymac TPO,5.125%,5.721%,"$4,060.418",-0.314,"$4,501.8",FHA,Wholesale
Eleven Mortgage,5.125%,5.732%,"$4,060.418",0.9616,"$4,835.9",FHA,Wholesale
Rocket Pro,5.125%,5.752%,"$4,060.418",-0.1700000000000017,"$5,489.9",FHA,Wholesale
"VIP Mortgage, Inc.",5.125%,5.755%,"$4,060.418",-0.43174999999999386,"$5,582.8",FHA,Wholesale
Click n' Close,5.125%,5.757%,"$4,060.418",-0.35675,"$5,659.1",FHA,Wholesale
AFR Wholesale,5.125%,5.768%,"$4,060.418",0.06399999999999295,"$6,009.2",FHA,Wholesale
"Paramount Residential Mortgage Group, Inc.",5.125%,5.785%,"$4,060.418",-0.015,"$6,533.8",FHA,Wholesale
Loan United Wholesale,5.125%,5.805%,"$4,060.418",0.0379999999999967,"$7,185.6",FHA,Wholesale
Plaza Home Mortgage Inc.,5.125%,5.815%,"$4,060.418",0.19594,"$7,480.7",FHA,Wholesale
TPO GO,5.125%,5.840%,"$4,060.418",0.6779999999999973,"$8,280.6",FHA,Wholesale
Jet Advantage Mortgage,5.125%,5.843%,"$4,060.418",0.7210000000000036,"$8,372.3",FHA,Wholesale
Forward Lending,5.125%,5.843%,"$4,060.418",0.7210000000000036,"$8,372.3",FHA,Wholesale
AD Mortgage,5.125%,5.852%,"$4,060.418",0.25199999999999534,"$8,657.4",FHA,Wholesale
