# Generated on: 2025-06-28T03:22:18.487Z
# Search Parameters: {"propertyValue":550000,"downPayment":20000,"loanAmount":530000,"creditScore":698,"propertyType":"single_family","occupancy":"primary","zipCode":"44121"}
# File Type: mortgage_rates

Lender,Rate,APR,Payment,Points,Upfront_Costs,Loan_Type,Quote_Type
"New American Funding, LLC.",4.625%,5.355%,"$4,073",2.78,"$26,030",VA,Retail
"New American Funding, LLC.",4.750%,5.428%,"$4,107",2.404,"$24,045",VA,Retail
"New American Funding, LLC.",4.875%,5.355%,"$3,882",1.951,"$29,703.45",Conventional,Retail
"New American Funding, LLC.",4.875%,5.477%,"$4,142",1.876,"$21,257",VA,Retail
"Mutual of Omaha Mortgage, Inc.",4.990%,5.649%,"$3,912",1.707,"$21,800.65",Conventional,Retail
Guaranteed Rate,4.990%,6.093%,"$4,546.64",1.775,"$18,053.35",Conventional,Retail
"New American Funding, LLC.",4.990%,5.925%,"$4,525",2.271,"$11,991",Conventional,Retail
"New American Funding, LLC.",5.000%,5.546%,"$4,176",1.483,"$19,182",VA,Retail
"New American Funding, LLC.",5.000%,6.170%,"$5,953",1.477,"$7,799",Conventional,Retail
"New American Funding, LLC.",5.000%,5.892%,"$4,528",1.971,"$10,407",Conventional,Retail
"New American Funding, LLC.",5.000%,6.222%,"$5,953",1.727,"$9,119",Conventional,Retail
"New American Funding, LLC.",5.125%,5.597%,"$4,210",0.974,"$16,495",VA,Retail
"Mutual of Omaha Mortgage, Inc.",5.125%,5.575%,"$2,875",2.861,"$27,158",VA,Retail
"New American Funding, LLC.",5.240%,6.062%,"$4,594",1.46,"$7,709",Conventional,Retail
Chase Bank,5.250%,5.889%,"$5,491.136",1.061,"$7,097.08",Conventional,Retail
"SunnyHill Financial, Inc.",5.250%,5.617%,"$2,915.64",1.633,"$21,069.24",VA,Retail
Mutual of Omaha Mortgage,5.250%,5.617%,"$2,915.64",1.419,"$21,082.32",VA,Retail
Alliant Credit Union,5.250%,5.630%,"$2,915.64",1.972,"$21,764.16",VA,Retail
"New American Funding, LLC.",5.250%,5.581%,"$3,979",0.929,"$19,585.55",Conventional,Retail
"Mutual of Omaha Mortgage, Inc.",5.250%,5.781%,"$3,979",0.817,"$12,989.15",Conventional,Retail
"New American Funding, LLC.",5.250%,6.306%,"$6,018",0.913,"$4,821",Conventional,Retail
"Mutual of Omaha Mortgage, Inc.",5.250%,5.611%,"$2,916",1.799,"$21,551",VA,Retail
Mutual of Omaha Mortgage,5.375%,5.699%,"$2,956.65",0.931,"$18,505.68",VA,Retail
Sage Home Loans,5.375%,5.748%,"$3,020.22",1.835,"$21,249.11",VA,Retail
Guaranteed Rate,5.375%,6.090%,"$4,653.26",0.547,"$11,586.45",Conventional,Retail
"New American Funding, LLC.",5.375%,5.774%,"$4,280",0.471,"$13,839",VA,Retail
"New American Funding, LLC.",5.375%,6.125%,"$4,632",0.953,"$5,032",Conventional,Retail
"New American Funding, LLC.",5.375%,5.823%,"$2,957",2.893,"$26,627",VA,Retail
Garden State Home Loans - HE,5.490%,5.865%,"$2,994.61",1.713,"$21,204.64",VA,Retail
Us Bank,5.500%,5.854%,"$5,730.19",0.736,"$8,921.7",Conventional,Retail
"SunnyHill Financial, Inc.",5.500%,5.771%,"$2,997.93",0.564,"$15,424.92",VA,Retail
"New American Funding, LLC.",5.500%,5.692%,"$4,045",0,"$10,389",Conventional,Retail
PenFed Credit Union,5.500%,5.723%,"$4,045",0,"$11,383",Conventional,Retail
Pennymac TPO,5.500%,6.127%,"$3,751.902",0.171,"$9,632.4",VA,Wholesale
Loan Factory Direct - PennyMac,5.500%,6.127%,"$3,751.902",0.171,"$9,632.4",VA,Wholesale
Sun West Mtg Co Wholesale,5.500%,6.146%,"$3,751.902",0.70188,"$10,400.7",VA,Wholesale
NexBank,5.500%,6.178%,"$3,751.902",0.7944300000000055,"$11,723.6",VA,Wholesale
CMG Financial,5.500%,6.220%,"$3,751.902",1.017,"$13,483.1",VA,Wholesale
NewRez LLC,5.500%,6.231%,"$3,751.902",0.59,"$13,919.4",VA,Wholesale
Kind Lending,5.500%,6.243%,"$3,751.902",1.30912,"$14,394.6",VA,Wholesale
Loan Factory Direct - Kind Lending,5.500%,6.243%,"$3,751.902",1.30912,"$14,394.6",VA,Wholesale
AFR Wholesale,5.500%,6.328%,"$3,751.902",2.004000000000005,"$17,851.9",VA,Wholesale
Open Mortgage,5.500%,6.446%,"$3,751.902",0.792,"$22,618.9",VA,Wholesale
HomeBridge Wholesale,5.500%,6.525%,"$3,751.902",2.621,"$25,776.9",VA,Wholesale
